season,match_number,round_number,home_team,away_team,group,home_goals,away_goals,goal_difference_home,result_90min,match_winner,knockout_aggregate,knockout_winner
2021-22,2,1,Young Boys,Man. United,Group F,2.0,1.0,1.0,H,Young Boys,,
2021-22,3,1,Sevilla,Salzburg,Group G,1.0,1.0,0.0,D,Draw,,
2021-22,1,1,Villarreal,Atalanta,Group F,2.0,2.0,0.0,D,Draw,,
2021-22,4,1,Dynamo Kyiv,Benfica,Group E,0.0,0.0,0.0,D,Draw,,
2021-22,5,1,Barcelona,Bayern,Group E,0.0,3.0,-3.0,A,Bayern,,
2021-22,6,1,LOSC,Wolfsburg,Group G,0.0,0.0,0.0,D,Draw,,
2021-22,7,1,Malmö,Juventus,Group H,0.0,3.0,-3.0,A,Juventus,,
2021-22,8,1,Chelsea,Zenit,Group H,1.0,0.0,1.0,H,Chelsea,,
2021-22,9,1,Besiktas,Dortmund,Group C,1.0,2.0,-1.0,A,Dortmund,,
2021-22,10,1,Sheriff,Shakhtar Donetsk,Group D,2.0,0.0,2.0,H,Sheriff,,
2021-22,11,1,Club Brugge,Paris,Group A,1.0,1.0,0.0,D,Draw,,
2021-22,12,1,Man. City,Leipzig,Group A,6.0,3.0,3.0,H,Man. City,,
2021-22,13,1,Atlético,Porto,Group B,0.0,0.0,0.0,D,Draw,,
2021-22,14,1,Liverpool,Milan,Group B,3.0,2.0,1.0,H,Liverpool,,
2021-22,15,1,Sporting CP,Ajax,Group C,1.0,5.0,-4.0,A,Ajax,,
2021-22,16,1,Inter,Real Madrid,Group D,0.0,1.0,-1.0,A,Real Madrid,,
2021-22,17,2,Ajax,Besiktas,Group C,2.0,0.0,2.0,H,Ajax,,
2021-22,18,2,Shakhtar Donetsk,Inter,Group D,0.0,0.0,0.0,D,Draw,,
2021-22,19,2,Paris,Man. City,Group A,2.0,0.0,2.0,H,Paris,,
2021-22,20,2,Leipzig,Club Brugge,Group A,1.0,2.0,-1.0,A,Club Brugge,,
2021-22,21,2,Porto,Liverpool,Group B,1.0,5.0,-4.0,A,Liverpool,,
2021-22,22,2,Milan,Atlético,Group B,1.0,2.0,-1.0,A,Atlético,,
2021-22,23,2,Dortmund,Sporting CP,Group C,1.0,0.0,1.0,H,Dortmund,,
2021-22,24,2,Real Madrid,Sheriff,Group D,1.0,2.0,-1.0,A,Sheriff,,
2021-22,25,2,Atalanta,Young Boys,Group F,1.0,0.0,1.0,H,Atalanta,,
2021-22,26,2,Zenit,Malmö,Group H,4.0,0.0,4.0,H,Zenit,,
2021-22,27,2,Bayern,Dynamo Kyiv,Group E,5.0,0.0,5.0,H,Bayern,,
2021-22,28,2,Benfica,Barcelona,Group E,3.0,0.0,3.0,H,Benfica,,
2021-22,29,2,Man. United,Villarreal,Group F,2.0,1.0,1.0,H,Man. United,,
2021-22,30,2,Wolfsburg,Sevilla,Group G,1.0,1.0,0.0,D,Draw,,
2021-22,31,2,Salzburg,LOSC,Group G,2.0,1.0,1.0,H,Salzburg,,
2021-22,32,2,Juventus,Chelsea,Group H,1.0,0.0,1.0,H,Juventus,,
2021-22,33,3,Club Brugge,Man. City,Group A,1.0,5.0,-4.0,A,Man. City,,
2021-22,34,3,Besiktas,Sporting CP,Group C,1.0,4.0,-3.0,A,Sporting CP,,
2021-22,35,3,Paris,Leipzig,Group A,3.0,2.0,1.0,H,Paris,,
2021-22,36,3,Porto,Milan,Group B,1.0,0.0,1.0,H,Porto,,
2021-22,37,3,Atlético,Liverpool,Group B,2.0,3.0,-1.0,A,Liverpool,,
2021-22,38,3,Ajax,Dortmund,Group C,4.0,0.0,4.0,H,Ajax,,
2021-22,39,3,Inter,Sheriff,Group D,3.0,1.0,2.0,H,Inter,,
2021-22,40,3,Shakhtar Donetsk,Real Madrid,Group D,0.0,5.0,-5.0,A,Real Madrid,,
2021-22,41,3,Barcelona,Dynamo Kyiv,Group E,1.0,0.0,1.0,H,Barcelona,,
2021-22,42,3,Salzburg,Wolfsburg,Group G,3.0,1.0,2.0,H,Salzburg,,
2021-22,43,3,Benfica,Bayern,Group E,0.0,4.0,-4.0,A,Bayern,,
2021-22,44,3,Young Boys,Villarreal,Group F,1.0,4.0,-3.0,A,Villarreal,,
2021-22,45,3,Man. United,Atalanta,Group F,3.0,2.0,1.0,H,Man. United,,
