season,match_number,round_number,date_utc,location,home_team,away_team,group,home_goals,away_goals,source_url,total_goals,goal_difference_home,result_90min
2021-22,2,1,2021-09-14 16:45:00+00:00,Stadion Wankdorf,Young Boys,Man. United,Group F,2,1,https://fixturedownload.com/feed/json/champions-league-2021,3,1,H
2021-22,3,1,2021-09-14 16:45:00+00:00,Estadio Ramón Sánchez-Pizjuán,Sevilla,Salzburg,Group G,1,1,https://fixturedownload.com/feed/json/champions-league-2021,2,0,D
2021-22,1,1,2021-09-14 19:00:00+00:00,Estadio de la Cerámica,Villarreal,Atalanta,Group F,2,2,https://fixturedownload.com/feed/json/champions-league-2021,4,0,D
2021-22,4,1,2021-09-14 19:00:00+00:00,NSC Olimpiyskiy,Dynamo Kyiv,Benfica,Group E,0,0,https://fixturedownload.com/feed/json/champions-league-2021,0,0,D
2021-22,5,1,2021-09-14 19:00:00+00:00,Camp Nou,Barcelona,Bayern,Group E,0,3,https://fixturedownload.com/feed/json/champions-league-2021,3,-3,A
2021-22,6,1,2021-09-14 19:00:00+00:00,Stade Pierre Mauroy,LOSC,Wolfsburg,Group G,0,0,https://fixturedownload.com/feed/json/champions-league-2021,0,0,D
2021-22,7,1,2021-09-14 19:00:00+00:00,Malmö New Stadium,Malmö,Juventus,Group H,0,3,https://fixturedownload.com/feed/json/champions-league-2021,3,-3,A
2021-22,8,1,2021-09-14 19:00:00+00:00,Stamford Bridge,Chelsea,Zenit,Group H,1,0,https://fixturedownload.com/feed/json/champions-league-2021,1,1,H
2021-22,9,1,2021-09-15 16:45:00+00:00,Besiktas Park,Besiktas,Dortmund,Group C,1,2,https://fixturedownload.com/feed/json/champions-league-2021,3,-1,A
2021-22,10,1,2021-09-15 16:45:00+00:00,Sheriff Stadion,Sheriff,Shakhtar Donetsk,Group D,2,0,https://fixturedownload.com/feed/json/champions-league-2021,2,2,H
2021-22,11,1,2021-09-15 19:00:00+00:00,Jan Breydelstadion,Club Brugge,Paris,Group A,1,1,https://fixturedownload.com/feed/json/champions-league-2021,2,0,D
2021-22,12,1,2021-09-15 19:00:00+00:00,City of Manchester Stadium,Man. City,Leipzig,Group A,6,3,https://fixturedownload.com/feed/json/champions-league-2021,9,3,H
2021-22,13,1,2021-09-15 19:00:00+00:00,Estadio Metropolitano,Atlético,Porto,Group B,0,0,https://fixturedownload.com/feed/json/champions-league-2021,0,0,D
2021-22,14,1,2021-09-15 19:00:00+00:00,Anfield,Liverpool,Milan,Group B,3,2,https://fixturedownload.com/feed/json/champions-league-2021,5,1,H
2021-22,15,1,2021-09-15 19:00:00+00:00,Estádio José Alvalade,Sporting CP,Ajax,Group C,1,5,https://fixturedownload.com/feed/json/champions-league-2021,6,-4,A
2021-22,16,1,2021-09-15 19:00:00+00:00,Stadio San Siro,Inter,Real Madrid,Group D,0,1,https://fixturedownload.com/feed/json/champions-league-2021,1,-1,A
2021-22,17,2,2021-09-28 16:45:00+00:00,Johan Cruijff ArenA,Ajax,Besiktas,Group C,2,0,https://fixturedownload.com/feed/json/champions-league-2021,2,2,H
2021-22,18,2,2021-09-28 16:45:00+00:00,NSC Olimpiyskiy,Shakhtar Donetsk,Inter,Group D,0,0,https://fixturedownload.com/feed/json/champions-league-2021,0,0,D
2021-22,19,2,2021-09-28 19:00:00+00:00,Parc des Princes,Paris,Man. City,Group A,2,0,https://fixturedownload.com/feed/json/champions-league-2021,2,2,H
2021-22,20,2,2021-09-28 19:00:00+00:00,RB Arena,Leipzig,Club Brugge,Group A,1,2,https://fixturedownload.com/feed/json/champions-league-2021,3,-1,A
2021-22,21,2,2021-09-28 19:00:00+00:00,Estádio do Dragão,Porto,Liverpool,Group B,1,5,https://fixturedownload.com/feed/json/champions-league-2021,6,-4,A
2021-22,22,2,2021-09-28 19:00:00+00:00,Stadio San Siro,Milan,Atlético,Group B,1,2,https://fixturedownload.com/feed/json/champions-league-2021,3,-1,A
2021-22,23,2,2021-09-28 19:00:00+00:00,BVB Stadion Dortmund,Dortmund,Sporting CP,Group C,1,0,https://fixturedownload.com/feed/json/champions-league-2021,1,1,H
2021-22,24,2,2021-09-28 19:00:00+00:00,Estadio Santiago Bernabéu,Real Madrid,Sheriff,Group D,1,2,https://fixturedownload.com/feed/json/champions-league-2021,3,-1,A
